Roll,Name,Email,Classes Attended,Total Classes,Attendance Percentage
1,Faiz,faiz.khan6718@gmail.com,6,10,60.0
2,Vihaan Patel,vihaan.patel02@gmail.com,8,10,80.0
3,Arjun Singh,arjun.singh03@gmail.com,7,10,70.0
4,Reyansh Gupta,reyansh.gupta04@gmail.com,7,10,70.0
5,Ishaan Verma,ishaan.verma05@gmail.com,7,10,70.0
6,Rohan Mehta,rohan.mehta06@gmail.com,7,10,70.0
7,Aditya Nair,aditya.nair07@gmail.com,7,10,70.0
8,Kabir Joshi,kabir.joshi08@gmail.com,6,10,60.0
9,Ananya Reddy,ananya.reddy09@gmail.com,7,10,70.0
10,Diya Kapoor,diya.kapoor10@gmail.com,7,10,70.0
11,Saanvi Iyer,saanvi.iyer11@gmail.com,6,10,60.0
12,Myra Malhotra,myra.malhotra12@gmail.com,6,10,60.0
13,Pranav Desai,pranav.desai13@gmail.com,5,10,50.0
14,Krishna Rao,krishna.rao14@gmail.com,6,10,60.0
15,Yash Thakur,yash.thakur15@gmail.com,6,10,60.0
16,Harsh Vardhan,harsh.vardhan16@gmail.com,6,10,60.0
17,Neha Kulkarni,neha.kulkarni17@gmail.com,7,10,70.0
18,Simran Kaur,simran.kaur18@gmail.com,6,10,60.0
19,Tanvi Choudhary,tanvi.choudhary19@gmail.com,7,10,70.0
20,Meera Bansal,meera.bansal20@gmail.com,6,10,60.0
21,Shivam Mishra,shivam.mishra21@gmail.com,5,10,50.0
22,Kunal Agarwal,kunal.agarwal22@gmail.com,6,10,60.0
23,Aditi Saxena,aditi.saxena23@gmail.com,5,10,50.0
24,Ritika Jain,ritika.jain24@gmail.com,6,10,60.0
25,Nikhil Arora,nikhil.arora25@gmail.com,6,10,60.0
26,Siddharth Menon,siddharth.menon26@gmail.com,6,10,60.0
27,Ayush Tiwari,ayush.tiwari27@gmail.com,7,10,70.0
28,Varun Khanna,varun.khanna28@gmail.com,7,10,70.0
29,Sneha Pillai,sneha.pillai29@gmail.com,6,10,60.0
30,Pooja Yadav,pooja.yadav30@gmail.com,6,10,60.0
31,Manav Bhatia,manav.bhatia31@gmail.com,5,10,50.0
32,Aryan Sinha,aryan.sinha32@gmail.com,6,10,60.0
33,Riya Sharma,riya.sharma33@gmail.com,6,10,60.0
34,Khushi Pandey,khushi.pandey34@gmail.com,4,10,40.0
35,Sahil Chawla,sahil.chawla35@gmail.com,5,10,50.0
36,Devansh Arvind,devansh.arvind36@gmail.com,6,10,60.0
37,Ira Mukherjee,ira.mukherjee37@gmail.com,6,10,60.0
38,Rahul Das,rahul.das38@gmail.com,5,10,50.0
39,Ankit Srivastava,ankit.srivastava39@gmail.com,5,10,50.0
40,Shruti Bose,shruti.bose40@gmail.com,5,10,50.0
41,Gaurav Shetty,gaurav.shetty41@gmail.com,5,10,50.0
42,Anushka Sen,anushka.sen42@gmail.com,5,10,50.0
43,Deepak Yadav,deepak.yadav43@gmail.com,4,10,40.0
44,Palak Arora,palak.arora44@gmail.com,5,10,50.0
45,Mohit Soni,mohit.soni45@gmail.com,5,10,50.0
46,Sanya Kapoor,sanya.kapoor46@gmail.com,5,10,50.0
47,Rajat Malviya,rajat.malviya47@gmail.com,6,10,60.0
48,Ishita Roy,ishita.roy48@gmail.com,5,10,50.0
49,Akash Chandra,akash.chandra49@gmail.com,6,10,60.0
50,Vaishnavi Patil,vaishnavi.patil50@gmail.com,5,10,50.0
51,Harini Subramanian,harini.subramanian51@gmail.com,4,10,40.0
52,Ritesh Kumar,ritesh.kumar52@gmail.com,6,10,60.0
53,Divya Narang,divya.narang53@gmail.com,4,10,40.0
54,Omkar Salvi,omkar.salvi54@gmail.com,4,10,40.0
55,Kavya Nanda,kavya.nanda55@gmail.com,5,10,50.0
56,Samarjeet Dutta,samarjeet.dutta56@gmail.com,5,10,50.0
57,Tejaswini Rao,tejaswini.rao57@gmail.com,7,10,70.0
58,Arnav Kulshreshtha,arnav.kulshreshtha58@gmail.com,5,10,50.0
59,Mitali Shah,mitali.shah59@gmail.com,5,10,50.0
60,Saurabh Tripathi,saurabh.tripathi60@gmail.com,6,10,60.0
61,Prisha Mehra,prisha.mehra61@gmail.com,4,10,40.0
62,Vedant Bhargava,vedant.bhargava62@gmail.com,5,10,50.0
63,Navya Srinivasan,navya.srinivasan63@gmail.com,5,10,50.0
64,Karthik Ramesh,karthik.ramesh64@gmail.com,4,10,40.0
