Roll,Name,Email
1,Faiz,faiz.khan6718@gmail.com
2,Sir,attendancegpwc@gmail.com
3,Arjun Singh,arjun.singh03@gmail.com
4,Reyansh Gupta,reyansh.gupta04@gmail.com
5,Ishaan Verma,ishaan.verma05@gmail.com
6,Rohan Mehta,rohan.mehta06@gmail.com
7,Aditya Nair,aditya.nair07@gmail.com
8,Kabir Joshi,kabir.joshi08@gmail.com
9,Ananya Reddy,ananya.reddy09@gmail.com
10,Diya Kapoor,diya.kapoor10@gmail.com
11,Saanvi Iyer,saanvi.iyer11@gmail.com
12,Myra Malhotra,myra.malhotra12@gmail.com
13,Pranav Desai,pranav.desai13@gmail.com
14,Krishna Rao,krishna.rao14@gmail.com
15,Yash Thakur,yash.thakur15@gmail.com
16,Harsh Vardhan,harsh.vardhan16@gmail.com
17,Neha Kulkarni,neha.kulkarni17@gmail.com
18,Simran Kaur,simran.kaur18@gmail.com
19,Tanvi Choudhary,tanvi.choudhary19@gmail.com
20,Meera Bansal,meera.bansal20@gmail.com
21,Shivam Mishra,shivam.mishra21@gmail.com
22,Kunal Agarwal,kunal.agarwal22@gmail.com
23,Aditi Saxena,aditi.saxena23@gmail.com
24,Ritika Jain,ritika.jain24@gmail.com
25,Nikhil Arora,nikhil.arora25@gmail.com
26,Siddharth Menon,siddharth.menon26@gmail.com
27,Ayush Tiwari,ayush.tiwari27@gmail.com
28,Varun Khanna,varun.khanna28@gmail.com
29,Sneha Pillai,sneha.pillai29@gmail.com
30,Pooja Yadav,pooja.yadav30@gmail.com
31,Manav Bhatia,manav.bhatia31@gmail.com
32,Aryan Sinha,aryan.sinha32@gmail.com
33,Riya Sharma,riya.sharma33@gmail.com
34,Khushi Pandey,khushi.pandey34@gmail.com
35,Sahil Chawla,sahil.chawla35@gmail.com
36,Devansh Arvind,devansh.arvind36@gmail.com
37,Ira Mukherjee,ira.mukherjee37@gmail.com
38,Rahul Das,rahul.das38@gmail.com
39,Ankit Srivastava,ankit.srivastava39@gmail.com
40,Shruti Bose,shruti.bose40@gmail.com
41,Gaurav Shetty,gaurav.shetty41@gmail.com
42,Anushka Sen,anushka.sen42@gmail.com
43,Deepak Yadav,deepak.yadav43@gmail.com
44,Palak Arora,palak.arora44@gmail.com
45,Mohit Soni,mohit.soni45@gmail.com
46,Sanya Kapoor,sanya.kapoor46@gmail.com
47,Rajat Malviya,rajat.malviya47@gmail.com
48,Ishita Roy,ishita.roy48@gmail.com
49,Akash Chandra,akash.chandra49@gmail.com
50,Vaishnavi Patil,vaishnavi.patil50@gmail.com
51,Harini Subramanian,harini.subramanian51@gmail.com
52,Ritesh Kumar,ritesh.kumar52@gmail.com
53,Divya Narang,divya.narang53@gmail.com
54,Omkar Salvi,omkar.salvi54@gmail.com
55,Kavya Nanda,kavya.nanda55@gmail.com
56,Samarjeet Dutta,samarjeet.dutta56@gmail.com
57,Tejaswini Rao,tejaswini.rao57@gmail.com
58,Arnav Kulshreshtha,arnav.kulshreshtha58@gmail.com
59,Mitali Shah,mitali.shah59@gmail.com
60,Saurabh Tripathi,saurabh.tripathi60@gmail.com
61,Prisha Mehra,prisha.mehra61@gmail.com
62,Vedant Bhargava,vedant.bhargava62@gmail.com
63,Navya Srinivasan,navya.srinivasan63@gmail.com
64,Karthik Ramesh,karthik.ramesh64@gmail.com
